"","year","title","runtimeMinutes","genres","genre1","genre2","genre3","averageRating","numVotes","rating","full_pass","mostly_pass","romance","horror","comedy","mystery","drama","fantasy","thriller","adventure","crime","action","other_genre"
"1",2021,"Dry, The","117","Crime,Drama,Mystery","Crime","Drama","Mystery","7.7",1843,3,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2",2021,"Finding &#39;Ohana","123","Action,Adventure,Comedy","Action","Adventure","Comedy","6.1",4013,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"3",2021,"High Ground","104","Action,Thriller","Action","Thriller",NA,"6.2",783,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"4",2020,"18 Presents","115","Drama","Drama",NA,NA,"6.7",2894,3,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",2020,"All the Bright Places","107","Drama,Romance","Drama","Romance",NA,"6.5",20726,3,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",2020,"Ammonite","120","Biography,Drama,Romance","Biography","Drama","Romance","6.5",6539,3,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"7",2020,"Artemis Fowl","95","Adventure,Family,Fantasy","Adventure","Family","Fantasy","4.2",22935,3,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"8",2020,"Bad Boys For Life","124","Action,Comedy,Crime","Action","Comedy","Crime","6.6",130710,2,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"9",2020,"Bad Hair","102","Comedy,Horror","Comedy","Horror",NA,"5.6",2181,3,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",2020,"Bill &amp; Ted Face the Music","91","Adventure,Comedy,Music","Adventure","Comedy","Music","6.1",28912,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"11",2020,"Birds of Prey","109","Action,Adventure,Comedy","Action","Adventure","Comedy","6.1",167856,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"12",2020,"Blow the Man Down","91","Comedy,Drama,Mystery","Comedy","Drama","Mystery","6.4",7665,3,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13",2020,"Borat Subsequent Moviefilm","95","Comedy","Comedy",NA,NA,"6.7",105893,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",2020,"Breach","92","Action,Sci-Fi","Action","Sci-Fi",NA,"3.7",6400,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"15",2020,"Cadaver","86","Drama,Horror,Thriller","Drama","Horror","Thriller","5.1",6729,3,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"16",2020,"Call, The","112","Crime,Horror,Mystery","Crime","Horror","Mystery","7.1",16310,3,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"17",2020,"Croods: A New Age, The","95","Adventure,Animation,Comedy","Adventure","Animation","Comedy","7.0",16326,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"18",2020,"Druk","117","Comedy,Drama","Comedy","Drama",NA,"7.8",38574,1,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
